series_id,method,serial_number,hardness_scale_raw,hardness_scale,hardness_level,applied_force_n,ball_diameter_mm,magnification,n_positions,excel_rows,picture_ids,manual_dimension_mean_from_individual_um,manual_dimension_sd_from_individual_um,manual_hardness_mean_from_individual,manual_hardness_sd_from_individual,manual_series_mean_dimension_um,manual_series_mean_hardness,manual_expanded_uncertainty,manual_relative_expanded_uncertainty,automatic_dimension_mean_from_individual_um,automatic_dimension_sd_from_individual_um,automatic_hardness_mean_from_individual,automatic_hardness_sd_from_individual,automatic_series_mean_dimension_um,automatic_series_mean_hardness,automatic_expanded_uncertainty,automatic_relative_expanded_uncertainty,manual_standard_uncertainty,automatic_standard_uncertainty,en_numerator,en_denominator,en,abs_en,en_classification
Vickers|SN=216-610|scale=HV 100|F=981N|mag=20X,Vickers,216-610,HV 100,HV 100,100,981.0,,20X,3,"57,58,59",,511.2326666666666,0.3402268850830516,709.5333333333334,0.9451631252505441,511.2326666666666,709.5333333333334,8.526854713149053,1.2017553386943134,511.089,0.3872102142247913,709.9666666666666,1.069267662156409,511.089,709.9666666666666,8.763612196397379,1.2343695285784373,4.263427356574526,4.381806098198689,0.4333333333331666,12.227352535524487,0.03543966955023097,0.03543966955023097,satisfactory screening result
Vickers|SN=216-610|scale=HV 20|F=196.2N|mag=20X,Vickers,216-610,HV 20,HV 20,20,196.2,,20X,3,"27,28,29",216-610_701_HV_20_1_20X,227.45366666666666,0.39907841752383433,716.7313333333333,2.518508553357179,227.45366666666666,716.7313333333333,9.57269720032157,1.3356046757159918,227.16983333333334,0.48426705786510826,717.44,3.021705975107473,227.16983333333334,717.44,10.042173382764933,1.399723096393417,4.786348600160785,5.021086691382466,0.7086666666667725,13.873780232458525,0.05107956553966489,0.05107956553966489,satisfactory screening result
Vickers|SN=216-610|scale=HV 3|F=29.43N|mag=50X,Vickers,216-610,HV 3,HV 3,3,29.43,,50X,3,"12,13,14",216-610_701_HV_3_1_50X,87.48933333333333,0.3245906396268036,726.6623333333333,5.394484714347895,87.48933333333333,726.6623333333333,11.41879541339894,1.5714032349824478,87.20833333333333,0.831253621545997,731.3793333333333,13.74869667762487,87.20833333333333,731.3793333333333,14.321884911648114,1.9582020244371294,5.70939770669947,7.160942455824057,4.7169999999999845,18.316803108499982,0.2575231044445219,0.2575231044445219,satisfactory screening result
Vickers|SN=216-610|scale=HV 50|F=490.5N|mag=20X,Vickers,216-610,HV 50,HV 50,50,490.5,,20X,3,"42,43,44",,360.7706666666666,0.3937338356470614,712.3666666666667,1.5502687938978095,360.7706666666666,712.3666666666667,9.046613100555899,1.2699377334550417,360.49399999999997,0.2637669425837595,713.4666666666667,1.0598742063723254,360.49399999999997,713.4666666666667,8.485219874474645,1.1892945067942409,4.523306550277949,4.242609937237322,1.1000000000000227,12.403232034809683,0.08868656144728017,0.08868656144728017,satisfactory screening result
Vickers|SN=221-101|scale=HV 100|F=981N|mag=20X,Vickers,221-101,HV 100,HV 100,100,981.0,,20X,3,"60,61,62",,456.06749999999994,0.1618401989618286,891.6,0.6557438524302365,456.06749999999994,891.6,10.001462902678426,1.1217432596095138,455.9176666666667,0.16750398005223446,892.1666666666666,0.6506407098647502,455.9176666666667,892.1666666666666,10.025307036011423,1.1237033853179252,5.000731451339213,5.0126535180057115,0.566666666666606,14.161074865982204,0.04001579484816192,0.04001579484816192,satisfactory screening result
Vickers|SN=221-101|scale=HV 20|F=196.2N|mag=20X,Vickers,221-101,HV 20,HV 20,20,196.2,,20X,3,"30,31,32",221-101_898_HV_20_1_20X,202.8216666666667,0.20328202904666934,901.3886666666667,1.8053731839521039,202.8216666666667,901.3886666666667,11.276255280425465,1.2509870267312138,202.56600000000003,0.37203628855261095,903.6693333333334,3.324583031499367,202.56600000000003,903.6693333333334,12.094224786386585,1.3383462667450539,5.6381276402127325,6.047112393193292,2.2806666666666615,16.53554372655979,0.13792510874640304,0.13792510874640304,satisfactory screening result
Vickers|SN=221-101|scale=HV 3|F=29.43N|mag=50X,Vickers,221-101,HV 3,HV 3,3,29.43,,50X,3,"15,16,17",221-101_898_HV_3_1_50X,78.17433333333334,0.07067059737496026,910.1296666666667,1.6455765960092394,78.17433333333334,910.1296666666667,14.1415117142299,1.5537908753181213,77.97449999999999,0.42185512916165846,914.8566666666666,9.907622587348305,77.97449999999999,914.8566666666666,15.364352792604343,1.6794273193182552,7.07075585711495,7.682176396302172,4.726999999999862,20.88170707340064,0.22637038166391907,0.22637038166391907,satisfactory screening result
Vickers|SN=221-101|scale=HV 50|F=490.5N|mag=20X,Vickers,221-101,HV 50,HV 50,50,490.5,,20X,3,"45,46,47",,321.80333333333334,0.12859756348131518,895.3000000000001,0.7211102550927884,321.80333333333334,895.3000000000001,10.299913222382063,1.1504426697623211,321.24916666666667,0.3292363639292121,898.3666666666667,1.8475208614068288,321.24916666666667,898.3666666666667,11.139197509649073,1.2399388716169055,5.1499566111910315,5.569598754824536,3.066666666666606,15.171352396789581,0.20213535263445237,0.20213535263445237,satisfactory screening result
Vickers|SN=293-250|scale=HV 100|F=981N|mag=20X,Vickers,293-250,HV 100,HV 100,100,981.0,,20X,3,"48,49,50",,1069.2361666666668,3.073468615966872,162.20000000000002,0.9539392014169495,1069.2361666666668,162.20000000000002,7.783484703767622,4.798695871619988,1069.5240000000001,3.0570189319008443,162.13333333333333,0.9018499505645844,1069.5240000000001,162.13333333333333,7.740602163803215,4.774220084582575,3.891742351883811,3.8703010819016077,-0.0666666666666913,10.977228976023937,-0.006073178104629338,0.006073178104629338,satisfactory screening result
Vickers|SN=293-250|scale=HV 20|F=196.2N|mag=20X,Vickers,293-250,HV 20,HV 20,20,196.2,,20X,3,"18,19,20",,479.2791666666667,1.8649494854642703,161.42666666666665,1.2526413426569096,479.2791666666667,161.42666666666665,4.91428485451625,3.044283175755503,479.32733333333334,2.410308607488544,161.39733333333334,1.6165730213427962,479.32733333333334,161.39733333333334,6.184761752680897,3.832009875843197,2.457142427258125,3.0923808763404486,-0.02933333333331234,7.899460334019804,-0.0037133338345893643,0.0037133338345893643,satisfactory screening result
