pair_mean,difference,manual,automatic,method,representation,source_index,series_id,magnification,hardness_scale,hardness_level,applied_force_n,ball_diameter_mm,serial_number
4.784320793302298,0.006650208527909207,119.223,120.01849999999999,Brinell,log_ratio,121,Brinell|SN=290-736|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,20X,HBW 1/5,1,49.05,1.0,290-736
4.754367273998981,0.004720463927538887,115.81649999999999,116.36449999999999,Brinell,log_ratio,122,Brinell|SN=290-736|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,20X,HBW 1/5,1,49.05,1.0,290-736
6.145002720637432,0.00560592527708792,465.07550000000003,467.69,Brinell,log_ratio,123,Brinell|SN=293-250|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,20X,HBW 1/30,1,294.3,1.0,293-250
6.1431604721142135,0.002874188646096343,464.85400000000004,466.192,Brinell,log_ratio,124,Brinell|SN=293-250|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,20X,HBW 1/30,1,294.3,1.0,293-250
6.142324428309214,0.0036279888031218732,464.2905,465.97799999999995,Brinell,log_ratio,125,Brinell|SN=293-250|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,20X,HBW 1/30,1,294.3,1.0,293-250
5.864274071854176,0.0017034497548795713,351.92650000000003,352.5265,Brinell,log_ratio,126,Brinell|SN=294-367|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,20X,HBW 1/30,1,294.3,1.0,294-367
5.859257961719116,0.00048221786909596887,350.3795,350.5485,Brinell,log_ratio,127,Brinell|SN=294-367|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,20X,HBW 1/30,1,294.3,1.0,294-367
5.857851393334652,0.0016229896568171753,349.6875,350.2555,Brinell,log_ratio,128,Brinell|SN=294-367|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,20X,HBW 1/30,1,294.3,1.0,294-367
5.543732781303849,0.00700228185018581,254.737,256.527,Brinell,log_ratio,129,Brinell|SN=290-736|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,20X,HBW 1/30,1,294.3,1.0,290-736
5.540501457875125,0.0005082303000909505,254.74099999999999,254.8705,Brinell,log_ratio,130,Brinell|SN=290-736|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,20X,HBW 1/30,1,294.3,1.0,290-736
5.541586486675196,-0.002069919294820366,255.3465,254.8185,Brinell,log_ratio,131,Brinell|SN=290-736|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,20X,HBW 1/30,1,294.3,1.0,290-736
7.70513661821512,0.016564733128197062,2201.4120000000003,2238.1814999999997,Brinell,log_ratio,132,Brinell|SN=812-006|scale=HBW 10/500|F=4905N|ball=10mm|mag=20X,20X,HBW 10/500,10,4905.0,10.0,812-006
7.70439647454031,0.008895283294595657,2208.235,2227.9655000000002,Brinell,log_ratio,133,Brinell|SN=812-006|scale=HBW 10/500|F=4905N|ball=10mm|mag=20X,20X,HBW 10/500,10,4905.0,10.0,812-006
7.704446042176301,0.016690454527660492,2199.754,2236.777,Brinell,log_ratio,134,Brinell|SN=812-006|scale=HBW 10/500|F=4905N|ball=10mm|mag=20X,20X,HBW 10/500,10,4905.0,10.0,812-006
7.438306820251262,0.015170429978345723,1687.0245,1712.8125,Brinell,log_ratio,135,Brinell|SN=810-202|scale=HBW 10/500|F=4905N|ball=10mm|mag=20X,20X,HBW 10/500,10,4905.0,10.0,810-202
7.433614090548633,0.008349113411272313,1684.8629999999998,1698.989,Brinell,log_ratio,136,Brinell|SN=810-202|scale=HBW 10/500|F=4905N|ball=10mm|mag=20X,20X,HBW 10/500,10,4905.0,10.0,810-202
7.440241924688826,0.019389804746543504,1686.73,1719.7545,Brinell,log_ratio,137,Brinell|SN=810-202|scale=HBW 10/500|F=4905N|ball=10mm|mag=20X,20X,HBW 10/500,10,4905.0,10.0,810-202
7.105008105525432,0.02106193060971595,1205.292,1230.9470000000001,Brinell,log_ratio,138,Brinell|SN=8301-50DW|scale=HBW 10/500|F=4905N|ball=10mm|mag=10X,10X,HBW 10/500,10,4905.0,10.0,8301-50DW
