series_id,method,source,serial_number,hardness_scale,hardness_level,applied_force_n,ball_diameter_mm,magnification,n,mean_dimension_um,sd_dimension_um,cv_percent,range_dimension_um,mean_d1_minus_d2_um,mean_abs_d1_minus_d2_um
Vickers|SN=216-610|scale=HV 3|F=29.43N|mag=50X,Vickers,manual,216-610,HV 3,3,29.43,,50X,3,87.48933333333333,0.3245906396268036,0.37100595839508466,0.6485000000000127,-0.19866666666666788,0.23866666666665992
Vickers|SN=216-610|scale=HV 3|F=29.43N|mag=50X,Vickers,automatic,216-610,HV 3,3,29.43,,50X,3,87.20833333333333,0.831253621545997,0.9531814102773019,1.5305000000000035,-0.3506666666666689,0.3506666666666689
Vickers|SN=216-610|scale=HV 50|F=490.5N|mag=20X,Vickers,manual,216-610,HV 50,50,490.5,,20X,3,360.7706666666666,0.3937338356470614,0.10913687614488099,0.7870000000000346,-0.018666666666680005,0.12933333333334454
Vickers|SN=216-610|scale=HV 50|F=490.5N|mag=20X,Vickers,automatic,216-610,HV 50,50,490.5,,20X,3,360.49399999999997,0.2637669425837595,0.07316819214293706,0.5219999999999345,0.4860000000000089,0.4860000000000089
Vickers|SN=221-101|scale=HV 100|F=981N|mag=20X,Vickers,manual,221-101,HV 100,100,981.0,,20X,3,456.06749999999994,0.1618401989618286,0.03548601883752485,0.3210000000000264,-0.2436666666666838,0.2436666666666838
Vickers|SN=221-101|scale=HV 100|F=981N|mag=20X,Vickers,automatic,221-101,HV 100,100,981.0,,20X,3,455.9176666666667,0.16750398005223446,0.03673996256317503,0.3350000000000364,-0.14799999999998667,0.4939999999999903
Vickers|SN=221-101|scale=HV 20|F=196.2N|mag=20X,Vickers,manual,221-101,HV 20,20,196.2,,20X,3,202.8216666666667,0.20328202904666934,0.10022697889607586,0.3684999999999832,0.372666666666665,0.372666666666665
Vickers|SN=221-101|scale=HV 20|F=196.2N|mag=20X,Vickers,automatic,221-101,HV 20,20,196.2,,20X,3,202.56600000000003,0.37203628855261095,0.18366176384615923,0.6630000000000109,0.03333333333335039,0.5866666666666731
Vickers|SN=221-101|scale=HV 3|F=29.43N|mag=50X,Vickers,manual,221-101,HV 3,3,29.43,,50X,3,78.17433333333334,0.07067059737496026,0.09040127924548158,0.14100000000000534,-0.046666666666666856,0.046666666666666856
Vickers|SN=221-101|scale=HV 3|F=29.43N|mag=50X,Vickers,automatic,221-101,HV 3,3,29.43,,50X,3,77.97449999999999,0.42185512916165846,0.5410167800520151,0.8419999999999987,-0.14233333333333084,0.35633333333332945
